Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Зінкевич,Арсен,Зиновійович,Чоловіча,1963-01-04,Клавішник,селище Вараш,"узвіз Ракетна, буд. 42 кв. 94, Болехів, 94439",+380 35 271 46 13,perepelytsiaielysaveta@example.net
Салій,Марія,Демидівна,Жіноча,1957-04-16,Зоолог,хутір Кременчук,"узвіз Івахненка Петра, буд. 691 кв. 1, Сокологірськ, 91896",720 31 58,fhavrylets@example.net
Ващенко-Захарченко,Емілія,Іллівна,Жіноча,1992-02-01,Співак,селище Ірміно,"шосе Квіткова, буд. 254, Полонне, 84173",079 617-31-12,tromanets@example.net
Іващенко,Марія,Федорівна,Жіноча,2006-06-09,Математик,село Синельникове,"провулок Кладовищенська, буд. 731 кв. 5, Коростишів, 49159",+380 11 374-43-62,ybandera@example.com
Жаліло,Ілля,Тимофійович,Чоловіча,2001-11-22,Мистецтвознавець,місто Білогірськ,"парк Рекордний, буд. 7 кв. 13, Тростянець, 42883",031 317-42-44,ydavydenko@example.org
Гайворонський,Леонід,Святославович,Чоловіча,1954-04-11,Електротехнік,селище Старобільськ,"вулиця Китобійний 2-й, буд. 54 кв. 84, Южне, 35630",+380 46 713-75-94,zasukhaiaryna@example.net
Артим,Симон,Назарович,Чоловіча,1988-07-09,Правник,місто Ківерці,"провулок Осіння, буд. 566 кв. 715, Каховка, 31336",993 22 56,valerii53@example.com
Хомик,Юхим,Опанасович,Чоловіча,2008-02-20,Кіноактор,місто Путивль,"узвіз Китобійний 2-й, буд. 361 кв. 504, Шахтарське, 57860",400 84 47,tetianalevchenko@example.net
Шморгун,Арсен,Святославович,Чоловіча,1987-02-09,Філолог,місто Привілля,"набережна Зої Пасічної, буд. 3, Дубляни, 07113",372-79-32,dmasliak@example.com
Ященко,Одарка,Федорівна,Жіноча,1981-12-31,Математик,село Ладижин,"площа Василя Кандинського 2-й, буд. 703 кв. 57, Корсунь-Шевченківський, 78248",060 384-62-46,vasyltymchenko@example.com
Верменич,Єлисавета,Орестівна,Жіноча,1979-02-07,Музикознавець,місто Дніпро,"сквер Одарія, буд. 1 кв. 451, Синельникове, 78943",+380 01 448-38-54,lukian52@example.org
Гоголь,Семен,Пантелеймонович,Чоловіча,1940-07-21,Промисловець,місто Новий Калинів,"сквер Розумовський 1-й, буд. 11 кв. 4, Ічня, 26789",001 623-67-83,mykyta61@example.com
Шевченко,Варфоломій,Микитович,Чоловіча,1984-06-05,Ювелір,село Житомир,"узвіз Саймона Літмана, буд. 84 кв. 0, Олександрія, 40107",472 70 73,opanas29@example.org
Цюпа,Марта,Богодарівна,Жіноча,1991-08-26,Петрограф,селище Хоростків,"набережна Ференца Ліста, буд. 12 кв. 334, Гайсин, 35833",069 713-48-11,herman03@example.net
Гавришкевич,Богдан,Пантелеймонович,Чоловіча,1955-11-18,Кінолог,село Брянка,"узвіз Балтський 8-й, буд. 70 кв. 273, Чорноморськ, 89212",961 85 32,anastasiia34@example.net
Арсенич,Ліза,Іллівна,Жіноча,1970-08-11,Сценарист,хутір Генічеськ,"вулиця 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 74, Ковель, 50738",+380 98 131 58 32,pmatviienko@example.com
Стус,Орест,Борисович,Чоловіча,1962-04-29,Художник,село Тячів,"шосе Горбиста, буд. 0 кв. 48, Сватове, 77289",+380 39 957-31-64,petrochernenko@example.net
Бебешко,Віолетта,Вікторівна,Жіноча,1971-03-16,Реставратор,місто Голубівка,"шосе Чорноморський 8-й, буд. 9 кв. 3, Попасна, 72323",038-46-43,spas76@example.org
Девдюк,Леон,Микитович,Чоловіча,2001-04-10,Намотувальник,місто Родинське,"узвіз 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 9 кв. 52, Перечин, 29758",164-23-46,valentyna88@example.com
Овсієнко,Богдан,Павлович,Чоловіча,1956-04-21,Астронавт,хутір Березне,"набережна Скляний 1-й, буд. 4, Брянка, 06512",+380 10 069-07-05,viacheslavderiazhnyi@example.com
Єрмоленко,Августин,Тарасович,Чоловіча,2008-01-10,Футболіст,селище Південне,"шосе Михайла Грушевського, буд. 50 кв. 337, Бахмач, 81054",005 327 75 64,bchervonenko@example.com
Дашенко,Устим,Хомович,Чоловіча,2004-12-10,Фрілансер,місто Долина,"узвіз Незалежності, буд. 32 кв. 90, Борислав, 63627",115-16-89,tsiuparuslan@example.com
Баранник,Вікторія,Романівна,Жіноча,2003-07-06,Штукатур,місто Умань,"шосе Вітчизняна, буд. 3, Тульчин, 37409",+380 92 713-92-70,roksolana50@example.org
Назаренко,Максим,Юхимович,Чоловіча,1954-02-20,Перекладач,хутір Хмельницький,"площа Лінія 41-ша, буд. 463 кв. 454, Докучаєвськ, 12006",451-16-03,snizhana64@example.net
Піддубний,Валентин,Микитович,Чоловіча,1939-09-06,Єгер,селище Ямпіль,"узвіз Перлинна, буд. 8, Ізюм, 44646",+380 57 402 42 78,oksanaiemelianenko@example.com
Ващук,Альберт,Богуславович,Чоловіча,1981-10-10,Прокурор,село Берестечко,"площа Балтський 4-й, буд. 719, Теплодар, 20967",077 838-03-14,bezditkovasylyna@example.org
Гаврилець,Франц,Варфоломійович,Чоловіча,2002-11-18,Ветеринар,місто Генічеськ,"провулок Лятошинського, буд. 970 кв. 9, Костопіль, 97485",073 840 60 58,halynaolifirenko@example.net
Прокопович,Богдан,Охрімович,Чоловіча,1980-02-26,Бізнесмен,селище Луганськ,"парк Радіо, буд. 574, Мар'їнка, 60970",064 090 18 93,stsushko@example.net
Тихий,Михайло,Азарович,Чоловіча,1956-05-10,Паралегал,селище Чернівці,"сквер Паркова, буд. 766, Коростень, 95164",076 210 46 72,gsvystun@example.org
Царенко,Олекса,Антонович,Чоловіча,2001-05-05,Підприємець,селище Красноперекопськ,"вулиця Балтський 6-й, буд. 3 кв. 082, Тетіїв, 53271",745-99-79,khomafranko@example.com
Карась,Йосип,Семенович,Чоловіча,1978-03-07,Кінокритик,хутір Іршава,"сквер Краснова, буд. 02, Старокостянтинів, 39576",031-79-68,saliimariana@example.net
Ковалюк,Богдан,Богданович,Чоловіча,2001-04-01,Драматург,селище Сквира,"провулок Кортацці, буд. 330, Ківерці, 90203",+380 56 949-56-80,samoilenkohanna@example.org
Захаренко,Теодор,Віталійович,Чоловіча,1952-02-19,Золотар,місто Кам'янка-Бузька,"вулиця Регенсбург, буд. 0 кв. 6, Волочиськ, 84761",+380 (57) 038-61-77,orlykdmytro@example.org
Пустовіт,Святослав,Орестович,Чоловіча,1976-10-27,Стоматолог,село Добропілля,"узвіз Учнівська, буд. 893, Золоте, 53537",361-61-64,dolifirenko@example.org
Гаврилюк,Олександр,Миколайович,Чоловіча,1945-07-19,Модель,хутір Волноваха,"парк Пересипський узвіз, буд. 879 кв. 93, Виноградів, 53480",051 228-17-75,utkachenko@example.com
Христич,Анастасія,Миколаївна,Жіноча,2001-08-13,Графік,село Сміла,"площа Олега Андрійця, буд. 070, Бершадь, 47069",+380 10 680-35-30,hbaran@example.org
Медведенко,Олег,Олександрович,Чоловіча,1981-08-07,Гицель,селище Теплодар,"провулок Пересипська 6-та, буд. 5 кв. 127, Кропивницький, 17247",+380 (27) 221-26-61,edeineko@example.net
Андрійович,Амалія,Францівна,Жіноча,1982-05-21,Хімік,хутір Рожище,"парк Совіньйонівський, буд. 5 кв. 329, Красногорівка, 58253",+380 27 784 45 55,orkhyp29@example.com
Удовенко,Пріска,Данівна,Жіноча,1960-12-06,Менеджер,селище Вишневе,"провулок Чорноморський 8-й, буд. 087, Хотин, 69246",001 737 41 55,iarema82@example.com
Чуйко,Назар,Григорійович,Чоловіча,1997-02-09,Бізнесмен,село Слов'янськ,"шосе Успенський, буд. 11 кв. 89, Павлоград, 20496",+380 08 246-53-77,rubetsievhen@example.org
Карась,Борислав,Соломонович,Чоловіча,2005-08-22,Випробувач,місто Сновськ,"набережна Жолкова Бориса, буд. 52 кв. 736, Галич, 48617",+380 (68) 582-10-73,boleslavlubenets@example.net
Бабійчук,Оксана,Гаврилівна,Жіноча,1963-12-09,Правник,селище Чорнобиль,"набережна Артилерійський 2-й, буд. 94, Очаків, 74072",026 999 01 36,ealeksandrenko@example.com
Андрійчук,Маруся,Альбертівна,Жіноча,1942-09-02,Кінокритик,селище Кодима,"сквер Академіка Заболотного, буд. 666, Севастополь, 70924",275 03 10,mariiaivanenko@example.org
Вдовиченко,Оксенія,Миронівна,Жіноча,1976-10-03,Промисловець,село Чоп,"набережна Віри Інбер, буд. 419, Горохів, 16780",035 978 72 03,cpetryk@example.org
Редько,Олександр,Іванович,Чоловіча,1968-11-13,Стропальник,село Саки,"парк Радіальний, буд. 351 кв. 687, Світлодарськ, 50951",889 56 84,serhiicherinko@example.org
Притула,Яків,Давидович,Чоловіча,2002-10-08,Хореограф,хутір Білозерське,"парк Південна, буд. 0, Снігурівка, 08387",057 303-67-10,parmen74@example.com
Акименко,Венедикт,Семенович,Чоловіча,1979-09-25,Актор,село Рубіжне,"парк Грушева, буд. 10 кв. 593, Алушта, 62200",007-57-89,liudmyla38@example.net
Воблий,Георгій,Владиславович,Чоловіча,1963-02-21,Петрограф,хутір Кремінна,"шосе Кощового отамана, буд. 4 кв. 53, Кремінна, 48220",047 857 26 77,halyna15@example.net
Михалюк,Пантелеймон,Демидович,Чоловіча,1955-07-04,Фрілансер,селище Баранівка,"парк Лазурний 6-й, буд. 0, Вінниця, 85840",+380 (35) 150-24-49,abrahamovskamarko@example.net
Бабко,Адам,Семенович,Чоловіча,1978-02-25,Медик,селище Новоселиця,"узвіз Пресича Олександра, буд. 74, Білгород-Дністровський, 29403",083 199-84-85,tereza74@example.net
Свистун,Данна,Тимофіївна,Жіноча,1975-07-24,Бібліотекар,місто Ківерці,"проспект Маловського, буд. 764 кв. 42, Кадіївка, 19607",034 657-58-13,korpaniukiefrem@example.org
Колесниченко,Степан,Богодарович,Чоловіча,1967-02-01,Петрограф,селище Славутич,"площа Овідіопольська, буд. 8, Кам'янка-Бузька, 08018",+380 90 858-59-98,tmykytiuk@example.org
Верес,Христина,Гордіївна,Жіноча,1959-09-20,Геофізик,селище Тальне,"проспект Михайла Жука, буд. 8, Охтирка, 59829",+380 (56) 704-66-72,zorianaleksandrenko@example.org
Батіг,Алевтин,Михайлович,Чоловіча,1943-03-23,Модельєр,село Василівка,"парк Гетьманський, буд. 739, Кілія, 14222",+380 38 956-24-82,erika46@example.net
Коваленко,Ярослава,Борисівна,Жіноча,1955-01-02,Фрілансер,селище Бурштин,"провулок Донцова Дмитра, буд. 705, Конотоп, 03721",+380 26 039-05-82,upelekh@example.com
Скиба,Богуслав,Ярославович,Чоловіча,1997-12-01,Фрілансер,хутір Васильків,"шосе Свободи, буд. 09, Самар, 03848",+380 (75) 360-36-19,viacheslav27@example.org
Вдовенко,Єфрем,Валерійович,Чоловіча,1949-07-09,Штукатур,хутір Корюківка,"набережна Батуринська, буд. 133, Волочиськ, 24432",294-81-19,panteleimonvenhrynovych@example.org
Ващенко-Захарченко,Демид,Устимович,Чоловіча,1939-03-21,Живописець,селище Торецьк,"набережна Чигиринська, буд. 624 кв. 266, Бровари, 19985",+380 91 934 00 47,iustym25@example.net
Хомик,Оксана,Пантелеймонівна,Жіноча,1968-02-09,Реабілітолог,хутір Мостиська,"вулиця Проектна 1-ша, буд. 853, Корсунь-Шевченківський, 57977",727 71 28,priskavlokh@example.com
Забара,Левко,Гаврилович,Чоловіча,2001-06-10,Фермер,селище Ладижин,"сквер Лиманчик 2-й Лінія 2-га, буд. 86 кв. 0, Хуст, 43327",096 412 08 98,lustenko@example.com
Ванченко,Анжела,Ростиславівна,Жіноча,1956-04-03,Адвокат,село Маріуполь,"шосе Леха Качинського, буд. 8 кв. 19, Кременець, 27174",+380 (29) 185-63-57,anita37@example.org
Даниленко,Алла,Захарівна,Жіноча,2007-01-27,Дизайнер,селище Ромни,"парк Привозна, буд. 382 кв. 906, Бахмач, 21528",+380 63 535 97 45,tetiana68@example.com
Бевзенко,Вікторія,Юхимівна,Жіноча,1995-11-20,Геолог,селище Середина-Буда,"проспект Новопланівська, буд. 0, Костопіль, 57788",061 480 13 81,orynachubai@example.com
Єременко,Семен,Панасович,Чоловіча,1954-01-01,Петрограф,місто Дружківка,"площа Різовська, буд. 67 кв. 89, Збараж, 50375",049 508-33-38,kandriishyna@example.org
Свириденко,Вікторія,Федорівна,Жіноча,2008-06-05,Агроном,селище Старокостянтинів,"площа Лінія 54-та, буд. 808, Скалат, 42159",087 717 12 35,venhrynovycholeksa@example.com
Демʼянчук,Василина,Олегівна,Жіноча,1976-07-30,Дипломат,хутір Конотоп,"шосе Сільська, буд. 5 кв. 500, Андрушівка, 20659",+380 (57) 064-14-84,kyryloabramchuk@example.org
Носаченко,Леопольд,Костянтинович,Чоловіча,1991-04-23,Круп'є,місто Попасна,"шосе Князя Володимира Великого , буд. 443, Славутич, 27608",+380 89 770-07-96,pavlenkoprokhir@example.com
Башполченко,Леон,Арсенович,Чоловіча,1960-08-07,Візажист,село Світловодськ,"набережна Василя Кандинського 1-й, буд. 4, Ланівці, 99779",+380 76 968-22-05,mvashchuk@example.com
Гук,Єва,Захарівна,Жіноча,1966-10-24,Ботанік,місто Бурштин,"вулиця Шполянська, буд. 4 кв. 73, Арциз, 56768",+380 30 912-65-69,odarka02@example.org
Артимович,Омелян,Олегович,Чоловіча,1983-07-09,Секретар,хутір Шпола,"провулок Чорноморський 1-й, буд. 2, Тернопіль, 42131",075 400 36 05,halyna12@example.com
Ємець,Леопольд,Іванович,Чоловіча,2006-04-16,Геофізик,село Попасна,"набережна Довженка, буд. 58, Долинська, 39782",+380 97 775-00-32,oisaienko@example.com
Матяш,Владислав,Симонович,Чоловіча,1944-09-17,Модельєр,селище Бучач,"шосе Перепечка, буд. 53, Сколе, 54089",+380 75 781-52-68,vasylynagalagan@example.com
Талан,Андрій,Тарасович,Чоловіча,1942-10-10,Доцент,село Горішні Плавні,"провулок Балтський 5-й, буд. 6 кв. 069, Балаклія, 60605",+380 89 078-16-94,mzatula@example.org
Єщенко,Сергій,Русланович,Чоловіча,1970-01-18,Диригент,місто Виноградів,"провулок Давида Бурлюка, буд. 08, Подільськ, 86446",075 540-63-29,pylyp34@example.net
Ковпак,Борис,Бориславович,Чоловіча,1949-02-12,Маркетолог,селище Білицьке,"парк Побратимів, буд. 61, Буча, 04293",+380 63 709-85-19,leon21@example.com
Ісаєнко,Данило,Дмитрович,Чоловіча,2004-10-29,Соціолог,селище Ніжин,"сквер Молоді, буд. 24 кв. 9, Канів, 38605",059 202-47-88,hennadiidemydenko@example.com
Худяк,Франц,Ігорович,Чоловіча,1976-12-09,Географ,село Кобеляки,"узвіз Селекційна, буд. 240, Довжанськ, 32830",+380 39 138-78-36,ieva78@example.net
Дрозденко,Володимира,Олександрівна,Жіноча,1970-06-06,Ботанік,місто Курахове,"вулиця Станційна 1-ша, буд. 16, Немирів, 10734",101-88-26,avhustyn23@example.org
Ільєнко,Стефан,Леопольдович,Чоловіча,1985-06-04,Шериф,селище Мостиська,"парк Кругова, буд. 9 кв. 8, Славутич, 72197",010 767 08 52,panteleimon93@example.org
Цимбал,Марʼяна,Борисівна,Жіноча,1956-03-30,Ботанік,місто Рівне,"провулок Світлий, буд. 636, Зугрес, 75435",+380 36 076 80 88,vitalii64@example.com
Тарасенко,Володимир,Олексович,Чоловіча,1962-01-14,Нотаріус,село Татарбунари,"набережна Пересипська 2-га, буд. 2 кв. 956, Бар, 71300",+380 (39) 364-02-54,valentyna86@example.net
Килимник,Віра,Віталіївна,Жіноча,1943-02-28,Реабілітолог,село Ялта,"провулок Ольгіївський узвіз, буд. 639 кв. 655, Жмеринка, 84773",029 889-00-18,ukhorishko@example.org
Їжак,Віталій,Захарович,Чоловіча,1941-09-28,Актор,селище Горлівка,"вулиця Гранатна, буд. 296 кв. 2, Берестечко, 69016",+380 34 343-66-59,demian29@example.com
Жайворон,Ярина,Данівна,Жіноча,1970-07-08,Будник,хутір Калуш,"сквер Немировича-Данченка, буд. 1 кв. 506, Жовті Води, 25954",051 619 23 69,illia70@example.net
Ємець,Ілля,Олексович,Чоловіча,1941-05-07,Біолог,хутір Скадовськ,"шосе Уральська, буд. 91, Антрацит, 26495",029 933 80 40,lavramchuk@example.net
Вдовенко,Давид,Семенович,Чоловіча,1950-07-31,Няня,селище Рені,"шосе Колективний, буд. 340 кв. 706, Тиврів, 28370",677 33 77,amvrosii46@example.com
Дутка,Володимир,Юхимович,Чоловіча,1996-04-17,Секретар,селище Пирятин,"шосе Рачкова, буд. 921 кв. 3, Хотин, 70074",091 966-85-10,avhustynderhach@example.org
Теліженко,Валентина,Омелянівна,Жіноча,1945-06-24,Каскадер,селище Привілля,"провулок Соборна, буд. 4 кв. 31, Рубіжне, 47930",+380 (15) 823-35-65,myron03@example.com
Савенко,Олена,Русланівна,Жіноча,1974-03-18,Мірошник,селище Лиман,"шосе Астрономічна, буд. 8 кв. 90, Костянтинівка, 41613",045 287-31-22,jtverdokhlib@example.org
Бебешко,Святослава,Георгіївна,Жіноча,1977-07-13,Каскадер,місто Лубни,"узвіз Ювілейний 2-й, буд. 65 кв. 295, Рахів, 19408",+380 45 970 98 61,nesterenkotetiana@example.net
Барабаш,Оксенія,Охрімівна,Жіноча,1989-04-02,Няня,місто Семенівка,"проспект Південна, буд. 5, Гнівань, 70455",082 615 27 52,qadamenko@example.net
Їжак,Юстина,Азарівна,Жіноча,2005-07-07,Державний службовець,хутір Теплодар,"провулок Володимира Вінниченка, буд. 9 кв. 151, Новгород-Сіверський, 51415",936-27-73,bizhakevych@example.com
Данилюк,Костянтин,Миколайович,Чоловіча,1953-03-17,Гірник,селище Бершадь,"шосе Проектуєма, буд. 3 кв. 393, Бобринець, 63304",+380 96 876-74-70,boryspelekh@example.org
Тригуб,Ірина,Тимофіївна,Жіноча,1958-08-16,Локсмайстер,селище Сарни,"узвіз Красний, буд. 842, Новодружеськ, 72542",+380 87 609 37 41,rakymenko@example.net
Саєнко,Варфоломій,Васильович,Чоловіча,1973-04-10,Музикант,місто Свалява,"проспект Стельмаха, буд. 1, Хотин, 40864",+380 (12) 941-30-14,hanna91@example.com
Величко,Ярема,Пантелеймонович,Чоловіча,1964-11-07,Живописець,хутір Рогатин,"парк Дур'янівський, буд. 8, Новогродівка, 39692",057 496 77 47,priskavysochan@example.org
Фастенко,Остап,Олексович,Чоловіча,1982-02-27,Водій,хутір Хирів,"вулиця Лиманний, буд. 0, Васильків, 87976",092 259 90 43,alinaverkhola@example.com
Корсун,Оксенія,Пантелеймонівна,Жіноча,1987-05-28,Ріелтор,місто Родинське,"провулок Балтський 5-й, буд. 76 кв. 27, Олександрія, 70717",312 55 63,solomon35@example.net
Балабан,Олена,Амвросійовна,Жіноча,1965-11-30,Державний службовець,хутір Ізяслав,"сквер Книжковий, буд. 9, Городня, 02118",+380 04 952-25-57,solomon07@example.net
Ісаєнко,Прохір,Йосипович,Чоловіча,1953-11-17,Краєзнавець,селище Збараж,"провулок Клинова, буд. 4 кв. 00, Заліщики, 68164",+380 54 456-58-06,panteleimon73@example.org
Устенко,Амалія,Микитівна,Жіноча,1952-01-20,Акушер,місто Знам'янка,"провулок Амундсена, 1-й, буд. 3 кв. 1, Лубни, 01260",+380 (79) 710-39-19,tartiushenko@example.com
Гайдай,Симон,Глібович,Чоловіча,1945-05-31,Біолог,місто Антрацит,"узвіз Китобійна, буд. 85 кв. 2, Богуслав, 24925",036-25-21,kolesnychenkoihnat@example.net
Палій,Омелян,Несторович,Чоловіча,1941-09-25,Громадський діяч,селище Біла Церква,"парк Художника Федорова, буд. 56 кв. 53, Хутір-Михайлівський, 48413",280 52 30,hlib67@example.net
Дутка,Клавдія,Пилипівна,Жіноча,1947-12-10,Бібліотекар,селище Узин,"парк Ольги Благовидової, буд. 16, Старобільськ, 28344",034 770-04-11,liudmyla58@example.org
Лемешко,Данило,Зорянович,Чоловіча,1943-07-20,Кухар,хутір Ладижин,"площа Шефська, буд. 665, Курахове, 69867",+380 31 122-53-44,mishchenkoorkhyp@example.org
Дейсун,Соломон,Охрімович,Чоловіча,1944-12-14,Журналіст,селище Тиврів,"шосе Левкоєва, буд. 02, Чорнобиль, 06761",+380 38 038 07 76,andreikooleksandr@example.org
Базавлученко,Гліб,Володимирович,Чоловіча,1977-03-31,Парфюмер,селище Мукачево,"парк Лінія 44-та, буд. 3, Березне, 93064",+380 43 835-27-78,lukianiermolenko@example.com
Ковалюк,Соломон,Омелянович,Чоловіча,1941-11-09,Сценарист,селище Хоростків,"проспект Алмазна, буд. 5 кв. 077, Умань, 09861",710 27 43,sshukhevych@example.com
Оліфіренко,Людмила,Гордіївна,Жіноча,1969-03-26,Медик,селище Дебальцеве,"узвіз Краснова, буд. 1, Дебальцеве, 21044",065 003 02 61,snizhana48@example.org
Ванченко,Демʼян,Лукʼянович,Чоловіча,1992-04-17,Психолог,село Авдіївка,"набережна Байгородський, буд. 46, Чугуїв, 99794",253 18 20,varfolomii92@example.net
Бевзенко,Марія,Владиславівна,Жіноча,1983-10-24,Фольклорист,селище Южноукраїнськ,"провулок Небесної Сотні, буд. 511, Мостиська, 94081",053 729-91-37,andrusenkoiukhym@example.com
Асаула,Болеслав,Юхимович,Чоловіча,1961-07-26,Державний службовець,селище Сновськ,"вулиця Хаджибейська дорога, буд. 249 кв. 9, Миколаївка, 62997",+380 36 898-86-46,qiashchenko@example.com
Талан,Едуард,Валентинович,Чоловіча,1984-07-29,Геофізик,село Фастів,"парк Пироговський, буд. 118, Канів, 17678",+380 87 659-82-55,arsen48@example.org
Шинкаренко,Богуслав,Пилипович,Чоловіча,1947-01-20,Графік,селище Скадовськ,"проспект Маріупольська, буд. 022, Сіверськодонецьк, 79459",+380 97 584-74-66,petliuraonysym@example.net
Удовиченко,Борис,Максимович,Чоловіча,1976-07-19,М'ясник,хутір Сорокине,"сквер Совіньйонівський, буд. 74 кв. 95, Волочиськ, 18649",393-72-88,liza34@example.org
Василашко,Зиновій,Прохорович,Чоловіча,2006-06-14,Ґрунтознавець,місто Березівка,"шосе Товарний, буд. 443, Хоростків, 30367",019 502 99 62,baklananastasiia@example.net
Андрійович,Зиновій,Євгенійович,Чоловіча,1967-07-27,Електротехнік,місто Ківерці,"площа Андрія Сови, буд. 9, Снігурівка, 46915",669 35 85,panteleimonkabanenko@example.org
Романець,Федір,Алевтинович,Чоловіча,1996-01-17,Ріелтор,селище Красногорівка,"шосе Медовий, буд. 8 кв. 0, Хирів, 85405",+380 01 344 70 90,petrotalan@example.net
Василашко,Панас,Богданович,Чоловіча,1973-03-09,Акушер,місто Селидове,"проспект Павла Клепацького, буд. 34, Ржищів, 23307",029 877-93-58,romanchukiosyp@example.net
Засенко,Пантелеймон,Альбертович,Чоловіча,1950-03-15,Гінеколог,місто Ковель,"сквер Морський 2-й, буд. 60 кв. 652, Прилуки, 56047",+380 46 163-98-78,hartymovych@example.net
Данькевич,Ірина,Павлівна,Жіноча,1949-11-23,Менеджер,село Іршава,"сквер Гайова, буд. 1, Дружківка, 47724",238-39-34,skoryktereza@example.net
Удовиченко,Степан,Мартинович,Чоловіча,1941-04-06,Конструктор,селище Іллінці,"сквер Учнівська, буд. 732 кв. 41, Сміла, 12679",545-76-63,havrylo02@example.org
Христенко,Алевтин,Павлович,Чоловіча,1954-03-04,Кур'єр,село Кремінна,"шосе Івахненка Петра, буд. 5 кв. 223, Корець, 38843",095 258 00 40,zaporozhetsdmytro@example.net
Негода,Василь,Федорович,Чоловіча,1995-09-22,Географ,місто Гребінка,"шосе Польовий 1-й, буд. 30 кв. 1, Камінь-Каширський, 40636",872-45-22,arsen84@example.net
Шевченко,Маруся,Богодарівна,Жіноча,1965-09-17,Слідчий,хутір Вижниця,"шосе Деволанівська, буд. 507 кв. 0, Кремінна, 88810",+380 (78) 292-55-04,artem09@example.com
Данилюк,Леонід,Назарович,Чоловіча,1998-06-14,Гірник,село Апостолове,"вулиця Закарпатська, буд. 9, Гайсин, 67469",+380 34 275 39 50,matiashfrants@example.net
Величко,Михайло,Назарович,Чоловіча,1948-06-09,Сантехнік,село Мар'їнка,"вулиця Казковий, буд. 9 кв. 281, Борислав, 73001",+380 (76) 015-09-34,wbarabash@example.com
Бараник,Роман,Тарасович,Чоловіча,1968-06-26,Клавішник,хутір Канів,"шосе Біржова, буд. 74, Бобровиця, 32287",263 46 05,goliashvladyslav@example.org
Запорожець,Павло,Олесьович,Чоловіча,1970-05-29,Етнограф,селище Часів Яр,"парк Мала Арнаутська, буд. 6, Буськ, 88995",+380 82 247-86-35,hordii29@example.net
Заруба,Левко,Ігнатович,Чоловіча,1944-01-10,Гінеколог,село Кагарлик,"шосе Панаса Мирного, буд. 732, Красилів, 12813",621 05 64,veniiamyn72@example.com
Уманець,Владислав,Юхимович,Чоловіча,1958-01-09,Кур'єр,селище Алчевськ,"парк Хлібна гавань, буд. 0 кв. 344, Гадяч, 41141",+380 18 449 86 09,msheremet@example.net
Скиба,Болеслав,Андрійович,Чоловіча,1944-06-14,Бібліограф,місто Добромиль,"шосе Олександра Богомольця, буд. 8 кв. 12, Нововолинськ, 38247",+380 22 084-43-96,illiachaika@example.net
Філіпенко,Валентин,Миколайович,Чоловіча,1983-03-25,Гірник,місто Прилуки,"сквер Чубаївська, буд. 168 кв. 14, Кам'янка (Черкаська область), 47470",011 534 72 66,davydzhaivoron@example.org
Чарниш,Іван,Макарович,Чоловіча,1969-06-02,Підприємець,селище Сквира,"проспект Горизонтальна, буд. 956, Камінь-Каширський, 98358",+380 19 168 00 56,valentyn35@example.org
Мазур,Віра,Леопольдівна,Жіноча,1962-04-26,Водій,місто Рахів,"узвіз Березовий, буд. 0 кв. 52, Карлівка, 42123",+380 57 717-80-24,priabovil@example.com
Яценюк,Григорій,Олегович,Чоловіча,1995-02-02,Мікробіолог,місто Приморськ,"шосе Лиманчик 2-й Лінія 3-тя, буд. 94 кв. 9, Кальміуське, 42986",+380 (02) 944-58-85,milenaostapchuk@example.com
Симоненко,Одарка,Орхипівна,Жіноча,1974-02-15,Геофізик,місто Тальне,"провулок Михайла Жука, буд. 9, Коломия, 07046",992 60 66,boryslav01@example.net
Василечко,Роксолана,Макарівна,Жіноча,1979-04-23,Пекар,хутір Вишгород,"узвіз Флотський 3-й, буд. 1 кв. 27, Мостиська, 64789",+380 85 107-37-34,sirchenkodemian@example.net
Алексійчук,Надія,Захарівна,Жіноча,1980-11-16,Водій,хутір Генічеськ,"шосе Кладовищенська, буд. 3, Сіверськодонецьк, 26822",022 996-04-01,alevtynsvyrydenko@example.com
Черненко,Лесь,Яковович,Чоловіча,1947-06-12,Каскадер,село Новодністровськ,"шосе Кощового отамана, буд. 157, Городок, 75575",+380 (74) 669-46-13,bandurafedir@example.net
Скиба,Сніжана,Болеславівна,Жіноча,1950-02-05,Електротехнік,місто Миколаїв,"набережна Короткий, буд. 599 кв. 70, Каховка, 89364",097 148 16 76,demydkalchenko@example.org
Голобородько,Святослава,Макарівна,Жіноча,2001-07-21,Юрист,селище Львів,"провулок Спортивна, буд. 17, Балта, 79556",+380 22 419-64-44,ydzhus@example.com
Величко,Охрім,Захарович,Чоловіча,1961-07-03,Провізор,селище Знам'янка,"парк Пейзажна, буд. 984, Ірпінь, 57950",+380 66 456-94-16,jbaklan@example.net
Шутько,Аарон,Володимирович,Чоловіча,2000-12-07,Економіст,село Новгород-Сіверський,"узвіз Північна, буд. 225 кв. 6, Бібрка, 16560",009 526-84-60,mykhailyna22@example.org
Шинкаренко,Ганна,Леопольдівна,Жіноча,1999-03-02,Епідеміолог,хутір Скадовськ,"сквер Пісочний, буд. 745, Харків, 34582",+380 (52) 237-80-73,romankhudiak@example.com
